ID,id,location_id,service_id,language,flag
1016,860,860,860,Spanish,
1017,861,861,861,English,
1018,861,861,861,Spanish,
1019,863,863,863,English,
1020,863,863,863,Spanish,
1021,864,864,864,English,
1022,864,864,864,Spanish,
1023,869,869,869,English,
1024,869,869,869,Spanish,
1025,870,870,870,English,
1026,870,870,870,Spanish,
1027,871,871,871,English,
1028,871,871,871,Spanish,
1029,871,871,871,Creole,
1030,872,872,872,English,
1031,872,872,872,Spanish,
1032,872,872,872,Creole,
1033,873,873,873,English,
1034,873,873,873,Spanish,
1035,874,874,874,English,
1036,874,874,874,Spanish,
1037,874,874,874,Creole,
1038,875,875,875,English,
1039,875,875,875,Spanish,
1040,876,876,876,English,
1041,876,876,876,Spanish,
1042,877,877,877,English,
1043,877,877,877,Spanish,
1044,878,878,878,English,
1045,878,878,878,Spanish,
1046,879,879,879,English,
1047,880,880,880,Spanish,
1048,881,881,881,English,
1049,881,881,881,Spanish,
1050,881,881,881,Creole,
1051,883,883,883,English,
1052,883,883,883,Spanish,
1053,883,883,883,Hebrew,
1054,886,886,886,English,
1055,886,886,886,Spanish,
1056,886,886,886,Creole,
1057,887,887,887,English,
1058,887,887,887,Spanish,
1059,887,887,887,Creole,
1060,889,889,889,English,
1061,889,889,889,Spanish,
1062,891,891,891,English,
1063,891,891,891,Spanish,
1064,891,891,891,Creole,
1065,900,900,900,English,
1066,900,900,900,Spanish,
1067,900,900,900,Creole,
1068,902,902,902,English,
1069,902,902,902,Spanish,
1070,903,903,903,English,
1071,903,903,903,Spanish,
1072,905,905,905,English,
1073,905,905,905,Spanish,
1074,907,907,907,English,
1075,907,907,907,Spanish,
1076,907,907,907,Creole,
1077,908,908,908,English,
1078,908,908,908,Spanish,
1079,908,908,908,Creole,
1080,911,911,911,English,
1081,911,911,911,Spanish,
1082,911,911,911,Creole,
1083,912,912,912,English,
