id,service_id,location_id,service_at_location_id,weekday,opens_at,closes_at
323,1077603109327544,,,,6:00AM,2:30PM
324,,817854864378068,,,9:00AM,5:00PM
325,"805800258888513,837954913596387,911320628244521,1252702593988888,942923225062781,867793861079810,860988302609734,801481287749333,931637209705712,955750891211425",,,,10:00AM,3:00PM
326,"847425752356331,800290835408679",,,,6:30AM,9:45AM
327,796887413251668,556992607571593,,,8:30AM,5:00PM
328,"1258855549014937,1124787894447866",,,,9:00AM,5:00PM
329,"1162907800070547,881403344964972","1286395778585315,1150129069386124",,,9:00AM,5:00PM
330,"940202748401268,813553671875388,806428640646955,1109436994306012,718050681265809,1224083578603659,1214476217655096","931728525653879,1053529725692782,647497712481280",,,10:00AM,3:00PM
331,"1191507987013016,672042329600890,893345439899253,807542367996268,1277276480508566,1184329050770191,893656046937448,665682144219766,593910008000184","625764854102357,916613468118556,612166168856784,926855982380347,1338999388183746,545659771156125",,,"24 hours",
332,"789456565791843,910059099567277,859629175967195,1178096298000358,979536491529478,813064675400914,1299121197634961,818563649469922",,,,9:00AM,8:00PM
333,"1153962275208345,807848846460860,611590713528319",,,,9:00AM,11:00AM
334,1267727721478414,1090162375763715,,,8:30AM,5:00PM
335,"733244062080278,953130575650955,814382562390416,1215438821283570,1146357672886284",803526594539754,,,8:30AM,5:00PM
336,,1220017101351760,,,2:30PM,5:45PM
337,"1153962275208345,807848846460860,611590713528319",906651913636867,,,8:00AM,4:00PM
338,"1273613208251491,786302163414865",1246140596600748,,,10:00AM,2:00PM
339,993349225663598,556992607571593,,,9:00AM,8:00PM
340,"1071110285565782,595461104582359,1244526695505882","610894518918920,1069725146672559",,,6:00PM,
341,"775111969675006,836738857450646,937486843530248,911181735974447",994012462825446,,,1:00PM,4:00PM
342,"953668428109766,1147909066828937,978169761735866,885835927138322,875542904723327,963779263900815,1105456695695453,1212544141593855,682308202362189",1106602330344467,,,8:00AM,6:00PM
343,"1314823770834798,881012847859169,820685180498221,772580143837637,1123886368027680",,,,8:00AM,5:00PM
344,1270590689586287,,,,"24 Hours",
345,"1140570813901169,627629263527494,1243832082519507,705771849785076,841132371028942,581022793280171",947853021041099,,,9:00AM,8:00PM
346,1300980508291929,,,,9:00AM,5:00PM
347,1287738688707705,813250237828389,,,10:00AM,5:00PM
