id,service_id,taxonomy_id,taxonomy_detail
21638,8005,LV-6800,
21639,8005,NL-6000.9500,
21640,8005,PH-1000,
21641,8005,RP-5000.6400,
21795,6562,HH-0500.8000-150,
21796,6562,HH-0500.1500,
21797,6562,HL-8500.1400,
21798,6560,PH-1000,
21799,8035,TD-1100.1400,
21816,6586,TQ-1500,
21817,6587,BD-1800.2000-640,
21818,6591,BV-8900.9300-180,
21819,8039,TD-1100.1400,
21821,8040,TD-1100.1400,
21822,8040,BV-8900.9300-180,
21830,8043,TD-1100.1400,
21831,8043,ND-6500,
21832,6600,PH-1000,
21833,8044,TD-1100.1400,
21834,8044,BD-1800.2000-640,
21836,8044,BH-3800.7000,
21837,8044,BV-8900.9300,
21838,8045,TD-1100.1400,
22229,8125,PH-1250.1800,
22230,8125,PL-6400.1500-820,
22164,8113,FT-3000.1700,
22181,5218,LJ-2000.1000-100,
22182,5218,LJ-2000.1000-150,
22186,5720,BD-1800.2000-640,
22195,5736,BD-1800.2000-640,
22201,8115,TB-0900.0650-500,
22202,8116,LH-6700.6400-285,
22203,8116,LH-6700.6400-300,
22204,8117,LH-6700.6400-285,
22205,8117,LH-6700.6400-300,
22206,8118,LH-6700.6400-285,
22207,8118,LH-6700.6400-300,
22214,8121,PH-2360.2400,
22232,8126,PH-1250.1800,
22233,8126,PL-6400.1500-820,
23920,8559,PL-6400.1500-820,
22241,8129,PH-1250.1800,
22242,8129,PL-6400.1500-820,
22246,8131,PH-1250.1800,
22248,8133,PH-1250.1800,
22249,8134,PH-1250.1800,
22254,8136,PH-1250.1800,
22251,8135,PH-1250.1800,
22252,6117,PL-6400.1500-820,
22255,8137,PH-1250.1800,
22258,8138,PH-1250.1800,
22474,8196,RD-6200,
22259,8139,PH-1250.1800,
22475,8196,RP-1400.8000-100,
20982,3982,BD-1800.2000-640,
21845,8047,TD-1100.1400,
21846,8047,ND-6500,
21850,6611,PH-1000,
21858,8052,TD-1100.1400,
21859,8052,ND-6500,
21860,6620,PH-1000,
21869,8055,TD-1100.1400,
21870,8055,ND-6500,
21871,8056,TD-1100.1400,
21872,8056,TQ-1500,
12969,6252,TD-1100.1400,
18245,6640,TD-1100.1400,
18244,6640,TQ-1500,
12993,6642,BH-3800.7000,
13947,6642,BV-8900.9300,
21873,6642,BD-1800.2000-640,
21874,6643,PH-1000,
18232,6643,TD-1100.1400,
18299,6646,BV-8900.9300-180,
21875,8057,TD-1100.1400,
21882,8059,TD-1100.1400,
21883,8059,ND-6500,
21884,6653,PH-1000,
21892,8062,TD-1100.1400,
21893,8062,BV-8900.9300-180,
21904,8068,TD-1100.1400,
21905,8068,BV-8900.9300-180,
21906,6694,BD-1800.2000-640,
