id,service_id,location_id,service_at_location_id,weekday,opens_at,closes_at,original_text
,7672,,,Thursday,8:00am,4:00pm,"8:00am-4:00pm, Mon-Fri"
,7672,,,Friday,8:00am,4:00pm,"8:00am-4:00pm, Mon-Fri"
,7677,,,Monday,2:00pm,6:00pm,"2:00pm-6:00pm, Mon-Fri"
,7677,,,Tuesday,2:00pm,6:00pm,"2:00pm-6:00pm, Mon-Fri"
,7677,,,Wednesday,2:00pm,6:00pm,"2:00pm-6:00pm, Mon-Fri"
,7677,,,Thursday,2:00pm,6:00pm,"2:00pm-6:00pm, Mon-Fri"
,7677,,,Friday,2:00pm,6:00pm,"2:00pm-6:00pm, Mon-Fri"
,7678,,,Monday,1:50pm,6:00pm,"1:50pm-6:00pm, Mon-Fri"
,7678,,,Tuesday,1:50pm,6:00pm,"1:50pm-6:00pm, Mon-Fri"
,7678,,,Wednesday,1:50pm,6:00pm,"1:50pm-6:00pm, Mon-Fri"
,7678,,,Thursday,1:50pm,6:00pm,"1:50pm-6:00pm, Mon-Fri"
,7678,,,Friday,1:50pm,6:00pm,"1:50pm-6:00pm, Mon-Fri"
,7680,,,Monday,10:30am,7:00pm,"10:30am-7:00pm, Mon, Wed, Fri\n\nServices provided by appointment only"
,7680,,,Wednesday,10:30am,7:00pm,"10:30am-7:00pm, Mon, Wed, Fri\n\nServices provided by appointment only"
,7681,,,Monday,8:00am,5:00pm,"8:00am-5:00pm, Mon-Fri"
,7681,,,Tuesday,8:00am,5:00pm,"8:00am-5:00pm, Mon-Fri"
,7681,,,Wednesday,8:00am,5:00pm,"8:00am-5:00pm, Mon-Fri"
,7681,,,Thursday,8:00am,5:00pm,"8:00am-5:00pm, Mon-Fri"
,7681,,,Friday,8:00am,5:00pm,"8:00am-5:00pm, Mon-Fri"
,7682,,,Monday,8:00am,5:00pm,"8:00am-5:00pm, Mon-Fri"
,7682,,,Tuesday,8:00am,5:00pm,"8:00am-5:00pm, Mon-Fri"
,7682,,,Wednesday,8:00am,5:00pm,"8:00am-5:00pm, Mon-Fri"
,7682,,,Thursday,8:00am,5:00pm,"8:00am-5:00pm, Mon-Fri"
,7682,,,Friday,8:00am,5:00pm,"8:00am-5:00pm, Mon-Fri"
,7683,,,Monday,9:00am,5:00pm,"9:00am-5:00pm, Mon-Fri"
,7683,,,Tuesday,9:00am,5:00pm,"9:00am-5:00pm, Mon-Fri"
,7683,,,Wednesday,9:00am,5:00pm,"9:00am-5:00pm, Mon-Fri"
,7683,,,Thursday,9:00am,5:00pm,"9:00am-5:00pm, Mon-Fri"
,7683,,,Friday,9:00am,5:00pm,"9:00am-5:00pm, Mon-Fri"
,7684,,,Monday,8:00am,5:00pm,"8:00am-5:00pm, Mon-Fri"
,7684,,,Tuesday,8:00am,5:00pm,"8:00am-5:00pm, Mon-Fri"
,7684,,,Wednesday,8:00am,5:00pm,"8:00am-5:00pm, Mon-Fri"
,7684,,,Thursday,8:00am,5:00pm,"8:00am-5:00pm, Mon-Fri"
