id,service_id,taxonomy_id,taxonomy_detail
23493,1746,TH-2900.1700-260,
13351,6739,RF-2000,
13352,6739,RF-3300,
13353,6739,RF-1500,
13368,6746,PH-1000,
13370,6747,FC-8200,
13382,6749,PL-7400.5500,
13383,2638,LH-3500,
13373,6747,RX-8470.8200,
13374,298,FN-1900.2500,
13380,6743,TJ-3000.8000,
13381,1546,DM-1500.1640,
13384,5663,FT-4800,
13385,2524,BH-1800.3500,
13388,6750,RX-8470.8200,
13389,6750,FC-8200.8100-170,
13390,6750,FF-0500.1800,
13691,6459,RP-1500.1400-300,
13692,6459,FN-1500.2560,
13982,6913,TJ-3200.5000,
13983,4137,RF-2000,
13984,4137,RF-3300,
13985,4137,RP-1400.2500,
13986,4137,RP-1400.8000-500,
13996,6914,FP-0500.3300,
14008,1259,TJ-4500,
14021,6927,BD-5000.3500,
14022,6927,BD-5000.8300,
14075,6951,LF-7000,
14076,6951,LV-6800,
14077,6951,PH-6100,
14078,6951,PX,
14086,6957,LH-0500.6450,
14087,6957,TJ-6500,
20534,7744,FP-0500.2500,
14160,397,JR-6000,
14161,397,DF-7000.4590-550,
14162,6983,PH-1250.1800,
14164,405,FN-1300,
14165,6984,FF-1500,
14166,6984,FF-3300.3500,
14167,6985,FF-1500,
14168,6985,FF-3300.3500,
14191,6991,LH-2700.0150,
14174,6986,TJ-8000.3000,
14175,6986,DF-7000.1200,
14176,6986,DF-7000.1700-300,
14177,6987,NL-6000.9500,
14179,6988,JP-1500.1700-800,
14180,6988,LF-4900.8600,
14181,6988,LT-1750.9000,
14193,6992,LF-4900.2200,
14185,6989,RX-8450.7900,
14186,6989,RX-8250.8000,
14189,6990,HL-8120.8030,
14195,1654,TD-0300.1300,
14199,1652,HL-8120.8030,
14203,1675,LH-2700.6000,
14204,1675,LJ-5000.1000,
14205,1675,NL-6000.9500,
15434,1026,BD-5000.1500,
18234,6653,PH-2360.2400,
18235,6653,TD-1100.1400,
14206,1673,LH-2700.6000,
14207,1673,LJ-5000.1000,
14208,1673,NL-6000.9500,
14209,1670,LH-2700.6000,
14210,1670,LJ-5000.1000,
14211,1670,NL-6000.9500,
14218,1678,LH-2700.6000,
14219,1678,LJ-5000.1000,
14220,1678,NL-6000.9500,
14221,1668,LH-2700.6000,
14222,1668,LJ-5000.1000,
14223,1668,NL-6000.9500,
14227,1666,LH-2700.6000,
14228,1666,LJ-5000.1000,
14229,1666,NL-6000.9500,
14230,1679,LH-2700.6000,
14231,1679,LJ-5000.1000,
14232,1679,NL-6000.9500,
15307,5630,PX,
20535,7744,FP-0500.3300,
15317,5403,PX,
18236,6662,TD-1100.1400,
15325,6026,HH-0500.8000-150,
15326,6026,PH-1450.7000,
15437,1026,TC-5500.8000,
16155,98,RD-3000.6750,
14233,1681,LH-2700.6000,
14234,1681,LJ-5000.1000,
14235,1681,NL-6000.9500,
14242,1674,LH-2700.6000,
14243,1674,LJ-5000.1000,
14244,1674,NL-6000.9500,
14245,1682,LH-2700.6000,
14246,1682,LJ-5000.1000,
14247,1682,NL-6000.9500,
14248,6993,LH-2700.6000,
14249,6993,LJ-5000.1000,
14250,6993,NL-6000.9500,
14251,6994,LH-2700.6000,
14252,6994,LJ-5000.1000,
14253,6994,NL-6000.9500,
14254,6995,LH-2700.6000,
14255,6995,LJ-5000.1000,
14256,6995,NL-6000.9500,
14257,6996,LH-2700.6000,
14258,6996,LJ-5000.1000,
14259,6996,NL-6000.9500,
14261,6997,TD-6500,
14262,6997,LF-4900.2400,
14263,6997,LH-2700.0150,
14264,6997,JP-1500.1700-050,
14265,6997,LT-1750.0500,
14266,1713,LN-5000,
14282,6999,LF-4900.8600,
14268,6998,JP-1500.1700,
14269,6998,LN-1500,
14270,6998,LJ-8000,
14271,6998,LF-4900.8000,
14272,6998,LT-1750.8000,
14273,6998,LH-2700.0150,
14274,6998,LF-4900.2400,
14276,6998,LJ-2000.1000,
18237,6662,PH-2360.2400,
14278,6998,LF-5280,
14279,6999,JP-1500.1700,
14280,6999,LF-4900.2400,
14281,6999,LF-4900.8000,
14283,6999,LF-5280,
14284,6999,LH-2700.0150,
14286,6999,LJ-2000.6750,
14287,6999,LJ-8000,
14288,6999,LN-1500,
14289,6999,LT-1750.8000,
16156,98,PH-1000.4500,
14529,660,ND-9000,
14532,5089,JR-8200.6500,
14533,2650,JR-8200.6500-350,
14536,632,LV-6800,
14537,632,LH-2700.6000,
14545,789,LV-2600,
14546,789,LV-3300,
14547,789,LN-9500,
14548,7036,BD-5000.8300,
14549,7037,FT-3000.1750,
14550,7037,FT-3000.6900,
14553,231,LF-7100.2500,
14554,6806,PH-1000,
14556,6806,TJ-6500.8500,
14557,7038,FN-1900.2500,
14558,7038,RP-1400.8000-160,
14559,7039,FN-1900.2500,
14560,7039,RP-1400.8000-160,
14562,5548,LH-2700.9500-100,
20540,2714,PS-9800.9900,
20541,2714,HH-4500.9500,
14571,7043,PN-8100.3000,
14572,7046,PN-8100.3000,
15320,6039,PH-1450.7000,
16193,7259,ND-2000.3500-150,
14585,7050,LH-2700.0150,
14586,7050,LH-2700.6000,
14587,7050,LH-6600,
14588,7050,LN-1500,
14589,7050,LV-1600,
14590,7050,NL-6000.9500,
14591,7050,RX-8450.1150,
14597,1469,FT-1000.9700,
14600,45,JP-6500.6500,
14602,2257,PD-7600.0100,
14603,2257,PD-7600.0500,
14624,2171,FF-3300.6400,
14627,1431,TR-1000.5000,
14613,7051,PN-8100.3000,
14617,7053,PS-9800.9900,
14619,3320,LH-2700,
14621,7010,PX,
16190,4868,TD-1600.3100-550,
14622,7011,PX,
14637,1457,TD-1600.3100-160,
14640,7059,LT-1750.1750,
14641,7059,TJ-3200.5000,
14646,4883,JD-1500.9500-870,
14647,4883,JD-1500.9500-300,
14652,1066,PD-9000.1800,
14653,1066,PD-9000.6000,
14658,1066,PX,
18240,6684,TD-1100.1400,
14665,7062,DD-2100.1000,
14673,4231,LJ-5000.6600,
24679,1979,RF-2000,
14677,593,LV-6800,
14681,7063,LN-1500,
14682,7063,LV-1600,
14684,7063,LV-3300,
14685,7063,LV-6000,
14686,7063,LV-6800,
14687,7063,LV-7200,
20542,2714,HL-8700.3000,
20667,3456,BH-8400.6000-060,
23595,8442,TJ-3000.8500-850,
16191,3543,LH-5100,
15442,1025,BD-5000.1500,
16194,7259,ND-2000.6400,
16207,738,PH-6200.8400,
24680,8793,RF-2000,
24681,8793,RF-3300,
24682,8793,RP-1400.8000-500,
14705,7066,LN-1500,
14712,7067,LN-1500,
14713,7067,LV-1600,
14714,7067,LV-2400,
14715,7067,LV-3300,
14716,7067,LV-6000,
