id,name,service_id,location_id,service_at_location_id,weekday,valid_from,valid_to,dtstart,until,wkst,freq,interval,byday,byweekno,bymonthday,byyearday,description,opens_at,closes_at
1338861885601302,,958856187058355,,,,,,,,,,,,,,,,,
1338861885601303,,1338909579517881,,,,,,,,,,,monday,,,,,,
1338861885601304,,1338909579517881,,,,,,,,,,,tuesday,,,,,,
1338861885601305,,1338909579517881,,,,,,,,,,,wednesday,,,,,,
1338861885601306,,1338909579517881,,,,,,,,,,,thursday,,,,,,
1338861885601307,,1338909579517881,,,,,,,,,,,friday,,,,,,
1338861885601308,,1338909579517881,,,,,,,,,,,saturday,,,,,,
1338861885601309,,1338909579517881,,,,,,,,,,,sunday,,,,,,
1338861885601310,,1338909579517881,,,,,,,,,,,,,,,,,
1338861885601375,,567687090092713,,,,,,,,,,,monday,,,,,,
1338861885601376,,567687090092713,,,,,,,,,,,tuesday,,,,,,
1338861885601377,,567687090092713,,,,,,,,,,,wednesday,,,,,,
1338861885601378,,567687090092713,,,,,,,,,,,thursday,,,,,,
1338861885601379,,567687090092713,,,,,,,,,,,friday,,,,,,
1338861885601380,,567687090092713,,,,,,,,,,,saturday,,,,,,
1338861885601381,,567687090092713,,,,,,,,,,,sunday,,,,,,
1338861885601382,,567687090092713,,,,,,,,,,,,,,,,,
1338861885601387,,819105625973846,,,,,,,,,,,monday,,,,,,
1338861885601388,,819105625973846,,,,,,,,,,,tuesday,,,,,,
1338861885601389,,819105625973846,,,,,,,,,,,wednesday,,,,,,
1338861885601390,,819105625973846,,,,,,,,,,,thursday,,,,,,
1338861885601391,,819105625973846,,,,,,,,,,,friday,,,,,,
1338861885601392,,819105625973846,,,,,,,,,,,saturday,,,,,,
1338861885601393,,819105625973846,,,,,,,,,,,sunday,,,,,,
1338861885601398,,819105625973846,,,,,,,,,,,,,,,,,
1338861885603226,,1223343952721664,,,,,,,,,,,monday,,,,,,
1338861885603227,,1223343952721664,,,,,,,,,,,tuesday,,,,,,
1338861885603228,,1223343952721664,,,,,,,,,,,wednesday,,,,,,
1338861885603229,,1223343952721664,,,,,,,,,,,thursday,,,,,,
1338861885603230,,1223343952721664,,,,,,,,,,,friday,,,,,,
1338861885603231,,1223343952721664,,,,,,,,,,,saturday,,,,,,
1338861885603232,,1223343952721664,,,,,,,,,,,sunday,,,,,,
1338861885603233,,1223343952721664,,,,,,,,,,,,,,,,,
1338861885603311,,1118257508626334,,,,,,,,,,,monday,,,,,,
1338861885603312,,1118257508626334,,,,,,,,,,,tuesday,,,,,,
1338861885603313,,1118257508626334,,,,,,,,,,,wednesday,,,,,,
1338861885603314,,1118257508626334,,,,,,,,,,,thursday,,,,,,
1338861885603315,,1118257508626334,,,,,,,,,,,friday,,,,,,
1338861885603316,,1118257508626334,,,,,,,,,,,saturday,,,,,,
1338861885603317,,1118257508626334,,,,,,,,,,,sunday,,,,,,
1338861885603318,,1118257508626334,,,,,,,,,,,,,,,,,
1338861885603757,,834474801815094,,,,,,,,,,,monday,,,,,,
1338861885603758,,834474801815094,,,,,,,,,,,tuesday,,,,,,
1338861885603759,,834474801815094,,,,,,,,,,,wednesday,,,,,,
1338861885603760,,834474801815094,,,,,,,,,,,thursday,,,,,,
1338861885603761,,834474801815094,,,,,,,,,,,friday,,,,,,
1338861885603762,,834474801815094,,,,,,,,,,,saturday,,,,,,
1338861885603763,,834474801815094,,,,,,,,,,,sunday,,,,,,
1338861885610319,,743196443052437,,,,,,,,,,,monday,,,,,,
1338861885610320,,743196443052437,,,,,,,,,,,tuesday,,,,,,
1338861885610321,,743196443052437,,,,,,,,,,,wednesday,,,,,,
1338861885610322,,743196443052437,,,,,,,,,,,thursday,,,,,,
1338861885610323,,743196443052437,,,,,,,,,,,friday,,,,,,
1338861885610324,,743196443052437,,,,,,,,,,,saturday,,,,,,
1338861885610325,,743196443052437,,,,,,,,,,,sunday,,,,,,
1338861885610361,,600311424612877,,,,,,,,,,,monday,,,,,,
1338861885610362,,600311424612877,,,,,,,,,,,tuesday,,,,,,
1338861885610363,,600311424612877,,,,,,,,,,,wednesday,,,,,,
1338861885610364,,600311424612877,,,,,,,,,,,thursday,,,,,,
1338861885610365,,600311424612877,,,,,,,,,,,friday,,,,,,
1338861885610366,,600311424612877,,,,,,,,,,,saturday,,,,,,
1338861885610367,,600311424612877,,,,,,,,,,,sunday,,,,,,
1338861885610423,,1120925823267751,,,,,,,,,,,monday,,,,,,
1338861885610424,,1120925823267751,,,,,,,,,,,tuesday,,,,,,
1338861885610425,,1120925823267751,,,,,,,,,,,wednesday,,,,,,
1338861885610426,,1120925823267751,,,,,,,,,,,thursday,,,,,,
1338861885610427,,1120925823267751,,,,,,,,,,,friday,,,,,,
1338861885610428,,1120925823267751,,,,,,,,,,,saturday,,,,,,
1338861885610429,,1120925823267751,,,,,,,,,,,sunday,,,,,,
1338861885610431,,806942363715001,,,,,,,,,,,monday,,,,,,
1338861885610432,,806942363715001,,,,,,,,,,,tuesday,,,,,,
1338861885610433,,806942363715001,,,,,,,,,,,wednesday,,,,,,
1338861885610434,,806942363715001,,,,,,,,,,,thursday,,,,,,
1338861885610435,,806942363715001,,,,,,,,,,,friday,,,,,,
1338861885610436,,806942363715001,,,,,,,,,,,saturday,,,,,,
1338861885610437,,806942363715001,,,,,,,,,,,sunday,,,,,,
1338861885610439,,978823191463999,,,,,,,,,,,monday,,,,,,
1338861885610440,,978823191463999,,,,,,,,,,,tuesday,,,,,,
1338861885610441,,978823191463999,,,,,,,,,,,wednesday,,,,,,
1338861885610442,,978823191463999,,,,,,,,,,,thursday,,,,,,
1338861885610443,,978823191463999,,,,,,,,,,,friday,,,,,,
1338861885610444,,978823191463999,,,,,,,,,,,saturday,,,,,,
